guide,variant,pdf,pages,links,widgets,bookmarks,file_size_kb,fonts_embedded,tagged,contact_sheets,visual_review
The Mindful Plate,print,_revised_staging/02_The_Mindful_Plate/Final_Print_PDF/mindful-diabetes-mindful-plate-guide-2026-print.pdf,21,10,0,20,306,True,False,_revised_staging/_qa_rendered_pages/mindful-plate/print/contact-sheet-1.png; _revised_staging/_qa_rendered_pages/mindful-plate/print/contact-sheet-2.png,Rendered at 200 DPI; contact sheets created for manual visual QA.
The Mindful Plate,web,_revised_staging/02_The_Mindful_Plate/Final_Web_PDF/mindful-diabetes-mindful-plate-guide-2026.pdf,21,10,0,20,306,True,False,_revised_staging/_qa_rendered_pages/mindful-plate/web/contact-sheet-1.png; _revised_staging/_qa_rendered_pages/mindful-plate/web/contact-sheet-2.png,Rendered at 200 DPI; contact sheets created for manual visual QA.
Fats Without Fear,print,_revised_staging/03_Fats_Without_Fear/Final_Print_PDF/mindful-diabetes-fats-without-fear-2026-print.pdf,21,8,0,20,301,True,False,_revised_staging/_qa_rendered_pages/fats-without-fear/print/contact-sheet-1.png; _revised_staging/_qa_rendered_pages/fats-without-fear/print/contact-sheet-2.png,Rendered at 200 DPI; contact sheets created for manual visual QA.
Fats Without Fear,web,_revised_staging/03_Fats_Without_Fear/Final_Web_PDF/mindful-diabetes-fats-without-fear-2026.pdf,21,8,0,20,301,True,False,_revised_staging/_qa_rendered_pages/fats-without-fear/web/contact-sheet-1.png; _revised_staging/_qa_rendered_pages/fats-without-fear/web/contact-sheet-2.png,Rendered at 200 DPI; contact sheets created for manual visual QA.
The Grocery Store Survival Guide,print,_revised_staging/04_Grocery_Store_Survival_Guide/Final_Print_PDF/mindful-diabetes-grocery-store-guide-2026-print.pdf,22,9,0,21,302,True,False,_revised_staging/_qa_rendered_pages/grocery-store-survival-guide/print/contact-sheet-1.png; _revised_staging/_qa_rendered_pages/grocery-store-survival-guide/print/contact-sheet-2.png,Rendered at 200 DPI; contact sheets created for manual visual QA.
The Grocery Store Survival Guide,web,_revised_staging/04_Grocery_Store_Survival_Guide/Final_Web_PDF/mindful-diabetes-grocery-store-guide-2026.pdf,22,9,0,21,302,True,False,_revised_staging/_qa_rendered_pages/grocery-store-survival-guide/web/contact-sheet-1.png; _revised_staging/_qa_rendered_pages/grocery-store-survival-guide/web/contact-sheet-2.png,Rendered at 200 DPI; contact sheets created for manual visual QA.
The 7-Day Prevention Reset,print,_revised_staging/05_Seven_Day_Prevention_Reset/Final_Print_PDF/mindful-diabetes-7-day-prevention-reset-2026-print.pdf,21,9,0,20,312,True,False,_revised_staging/_qa_rendered_pages/7-day-prevention-reset/print/contact-sheet-1.png; _revised_staging/_qa_rendered_pages/7-day-prevention-reset/print/contact-sheet-2.png,Rendered at 200 DPI; contact sheets created for manual visual QA.
The 7-Day Prevention Reset,web,_revised_staging/05_Seven_Day_Prevention_Reset/Final_Web_PDF/mindful-diabetes-7-day-prevention-reset-2026.pdf,21,9,0,20,312,True,False,_revised_staging/_qa_rendered_pages/7-day-prevention-reset/web/contact-sheet-1.png; _revised_staging/_qa_rendered_pages/7-day-prevention-reset/web/contact-sheet-2.png,Rendered at 200 DPI; contact sheets created for manual visual QA.
Blood Sugar & Brain Health,print,_revised_staging/06_Blood_Sugar_and_Brain_Health/Final_Print_PDF/mindful-diabetes-blood-sugar-brain-health-2026-print.pdf,23,9,0,22,306,True,False,_revised_staging/_qa_rendered_pages/blood-sugar-brain-health/print/contact-sheet-1.png; _revised_staging/_qa_rendered_pages/blood-sugar-brain-health/print/contact-sheet-2.png,Rendered at 200 DPI; contact sheets created for manual visual QA.
Blood Sugar & Brain Health,web,_revised_staging/06_Blood_Sugar_and_Brain_Health/Final_Web_PDF/mindful-diabetes-blood-sugar-brain-health-2026.pdf,23,9,0,22,306,True,False,_revised_staging/_qa_rendered_pages/blood-sugar-brain-health/web/contact-sheet-1.png; _revised_staging/_qa_rendered_pages/blood-sugar-brain-health/web/contact-sheet-2.png,Rendered at 200 DPI; contact sheets created for manual visual QA.
