nct_id,url,brief_title,official_title,overall_status,study_type,phase,primary_purpose,category,participant_stage,enrollment,lead_sponsor,interventions,conditions,countries,has_us_site,country_count,location_count,multinational,has_public_locations,study_first_post_date,last_update_post_date,start_date,primary_completion_date,completion_date,primary_outcomes,excluded_reason
NCT00869817,https://clinicaltrials.gov/study/NCT00869817,Dominantly Inherited Alzheimer Network (DIAN),Dominantly Inherited Alzheimer Network (DIAN),RECRUITING,OBSERVATIONAL,NOT_APPLICABLE,,"Diagnostics, imaging, and biomarkers",Preclinical or elevated-risk,700,Washington University School of Medicine,,Alzheimer's Disease,Argentina; Australia; Brazil; Canada; Colombia; Germany; Japan; Mexico; Netherlands; South Korea; Spain; United Kingdom; United States,True,13,26,True,True,2009-03-26,2026-07-20,2009-01,2026-09,2026-09,"Positive predictive power of a biomarker or group of biomarkers; Biomarkers obtained by blood draw, lumbar puncture, MRI, FDG PET, PET amyloid imaging; Clinical markers also examined from clinical interview and cognitive testing","Last public update posted after June 10, 2026; historical status not reconstructed"
NCT00950430,https://clinicaltrials.gov/study/NCT00950430,Imaging of Brain Amyloid Plaques in the Aging Population,"Brain Amyloid Imaging With Pittsburgh Compound B in Normal Aging, Mild Cognitive Impairment, and Dementia",ENROLLING_BY_INVITATION,INTERVENTIONAL,PHASE4,DIAGNOSTIC,"Care, behavior, and quality of life",MCI or prodromal Alzheimer’s,8000,Mayo Clinic,Pittsburgh Compound B (C-11 PiB); F-18 FDG; Tau (18-F-AV-1451),Alzheimer's Disease; Dementia With Lewy Bodies; Frontotemporal Dementia; Vascular Dementia,United States,True,1,1,False,True,2009-07-31,2026-06-23,2008-04,2027-06,2027-06,To understand the predictive ability of PiB PET imaging for neurodegenerative diseases.,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT01760005,https://clinicaltrials.gov/study/NCT01760005,Dominantly Inherited Alzheimer Network Trial: An Opportunity to Prevent Dementia. A Study of Potential Disease Modifying Treatments in Individuals at Risk for or With a Type of Early Onset Alzheimer's Disease Caused by a Genetic Mutation. Master Protocol DIAN-TU-001,"A Phase II/III Multicenter Randomized, Double-Blind, Placebo-Controlled Platform Trial of Potential Disease Modifying Therapies Utilizing Biomarker, Cognitive, and Clinical Endpoints in Dominantly Inherited Alzheimer's Disease",ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE2+PHASE3,TREATMENT,Tau-targeting approaches,Preclinical or elevated-risk,490,Washington University School of Medicine,Gantenerumab; Solanezumab; Matching Placebo (Gantenerumab); Matching Placebo (Solanezumab); Gantenerumab; E2814; Lecanemab; Matching Placebo (E2814),"Alzheimers Disease; Dementia; Alzheimers Disease, Familial",Argentina; Australia; Brazil; Canada; Colombia; France; Germany; Ireland; Italy; Japan; Netherlands; Puerto Rico; Spain; United Kingdom; United States,True,15,38,True,True,2013-01-03,2026-07-27,2012-12,2028-04,2028-07,Assess cognitive efficacy in individuals with mutations causing dominantly inherited AD as measured by the change from baseline in the DIAN-Multivariate Cognitive Endpoint (DIAN-MCE),"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT02740634,https://clinicaltrials.gov/study/NCT02740634,Molecular and Structural Imaging in Alzheimer's Disease: A Longitudinal Study,Molecular and Structural Imaging in Alzheimer's Disease: A Longitudinal Study,RECRUITING,INTERVENTIONAL,NA,DIAGNOSTIC,"Care, behavior, and quality of life",MCI or prodromal Alzheimer’s,60,Mayo Clinic,F-18 AV 1451; C-11 PiB,"Atypical Alzheimer's Disease; Logopenic Progressive Aphasia (LPA); Posterior Cortical Atrophy (PCA); Alzheimer Disease; Alzheimer Disease, Early Onset; Amnestic Disorder; Amnestic Symptoms; Amnestic Mild Cognitive Disorder",United States,True,1,1,False,True,2016-04-15,2026-07-17,2016-05,2027-03,2027-03,Amount of Amyloid protein in the brain of patients with Logopenic Aphasia (LPA) or Posterior Cortical Atrophy (PCA).; Amount of Tau protein in the brain of patients with Logopenic Aphasia (LPA) or Posterior Cortical Atrophy (PCA).,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT02795052,https://clinicaltrials.gov/study/NCT02795052,Neurologic Stem Cell Treatment Study,Neurologic Bone Marrow Derived Stem Cell Treatment Study,RECRUITING,INTERVENTIONAL,NA,TREATMENT,"Diagnostics, imaging, and biomarkers",Mixed or not specified,500,MD Stem Cells,Intravenous and Intranasal BMSC,Neurologic Disorders; Nervous System Diseases; Neurodegenerative Diseases; Neurological Disorders; Stroke; Traumatic Brain Injury; Cadasil; Chronic Traumatic Encephalopathy; Cerebral Infarction; Cerebral Ischemia; Cerebral Stroke; Cerebral Hemorrhage; Parkinson; Multi-System Degeneration; MSA - Multiple System Atrophy; Progressive Supranuclear Palsy; ALS; Amyotrophic Lateral Sclerosis; Neuropathy; Diabetic Neuropathies; Alzheimer Disease; Dementia; Frontotemporal Dementia; Lewy Body Disease; Cognitive Impairment; Lewy Body Variant of Alzheimer Disease,United Arab Emirates; United States,True,2,3,True,True,2016-06-09,2026-06-26,2016-06,2027-07-31,2028-07-31,Change in Neurologic Function,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT03121066,https://clinicaltrials.gov/study/NCT03121066,Transcranial Magnetic Stimulation for Alzheimer's Disease Treatment,Intervention Based on Transcranial Magnetic Stimulation for Alzheimer's Disease Patients: Randomized Clinical Trial,NOT_YET_RECRUITING,INTERVENTIONAL,NA,TREATMENT,Devices and brain stimulation,Moderate or later dementia,45,Universitat Oberta de Catalunya,Active Transcranial Magnetic Stimulation; Sham Transcranial Magnetic Stimulation,Alzheimer Disease,,False,0,0,False,False,2017-04-19,2026-07-21,2027-11,2027-11,2029-12,Change in Cognitive improvement,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT03208491,https://clinicaltrials.gov/study/NCT03208491,AZ@GAME-Eco: Economic Assessment of Serious Games for the Management of Alzheimer's Disease and Related Disorders,AZ@GAME-Eco: Economic Assessment of Serious Games for the Management of Alzheimer's Disease and Related Disorders,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,NA,PREVENTION,"Care, behavior, and quality of life",Moderate or later dementia,136,Centre Hospitalier Universitaire de Nice,serious games use; usual care,Alzheimer Disease,France,False,1,1,False,True,2017-07-05,2026-06-15,2017-09-30,2018-03-30,2027-12-30,cost utility ratio,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT03618186,https://clinicaltrials.gov/study/NCT03618186,Neuroimaging Study,Neuroimaging Study,ENROLLING_BY_INVITATION,INTERVENTIONAL,PHASE2,DIAGNOSTIC,"Diagnostics, imaging, and biomarkers",Mixed or not specified,240,Mayo Clinic,Tau PET scan,Cognitive Impairment,United States,True,1,2,False,True,2018-08-07,2026-06-12,2018-11-26,2030-05,2030-05,Tau positive scans,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT03649724,https://clinicaltrials.gov/study/NCT03649724,The LUCINDA Trial: LeUprolide Plus Cholinesterase Inhibition to Reduce Neurological Decline in Alzheimer's,The LUCINDA Trial: LeUprolide Plus Cholinesterase Inhibition to Reduce Neurological Decline in Alzheimer's,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE2,TREATMENT,"Diagnostics, imaging, and biomarkers",Care partners or care systems,180,Weill Medical College of Cornell University,Placebo; Eligard 22.5Mg Suspension for Injection,Alzheimer Disease; Mild Cognitive Impairment,United States,True,1,3,False,True,2018-08-28,2026-06-16,2020-11-27,2026-07-25,2026-07-25,Percent change in Alzheimer's Disease Assessment Scale-Cognitive Subscale (ADAS-cog-11),"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT04122001,https://clinicaltrials.gov/study/NCT04122001,Effects of Electrical Stimulation on Verbal Learning in Typical and Atypical Alzheimer's Disease,Transcranial Direct Current Stimulation in Typical and Atypical Alzheimer's Disease,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,NA,TREATMENT,"Care, behavior, and quality of life",Care partners or care systems,90,Johns Hopkins University,"Active, in-person HD-tDCS or active remote tDCS; Sham; Word List Learning Intervention (WordLLI)","Alzheimer Disease, Early Onset; Atypical Alzheimer's Disease; Logopenic Progressive Aphasia",United States,True,1,1,False,True,2019-10-10,2026-07-15,2020-08-17,2026-11-30,2026-11-30,Change in auditory recall accuracy based on the sum of words recalled in Trials 1-5 of semantically related - trained word-lists; Change in auditory delayed recall accuracy of semantically related - trained word-lists; Change in auditory recall accuracy based on the sum of words recalled in Trials 1-5 of semantically unrelated - trained word-lists,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT04396873,https://clinicaltrials.gov/study/NCT04396873,PET Imaging of Cyclooxygenases in Neurodegenerative Brain Disease,Phase 1 Study: PET Imaging of Cyclooxygenases in Neurodegenerative Brain Disease,RECRUITING,INTERVENTIONAL,PHASE1,DIAGNOSTIC,"Diagnostics, imaging, and biomarkers",Care partners or care systems,184,National Institute of Mental Health (NIMH),11C-MC1; 11C-PS13; 18f-florbetaben,Parkinson's Disease; Dementia; Alzheimer's Disease; ALS; Mild Cognitive Impairment,United States,True,1,1,False,True,2020-05-21,2026-07-02,2021-08-17,2029-04-11,2030-10-03,Measure the concentration of radioligands,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT04576793,https://clinicaltrials.gov/study/NCT04576793,Longitudinal Imaging of Microglial Activation in Different Clinical Variants of Alzheimer's Disease,Longitudinal Imaging of Microglial Activation in Different Clinical Variants of Alzheimer's Disease,RECRUITING,INTERVENTIONAL,PHASE2,DIAGNOSTIC,"Diagnostics, imaging, and biomarkers",MCI or prodromal Alzheimer’s,100,Columbia University,11C-ER176; 18F-MK6240; 18F-Florbetaben; Lumbar Puncture,Alzheimer Disease,United States,True,1,1,False,True,2020-10-06,2026-07-06,2020-11-17,2027-05-31,2027-05-31,11C-ER176 Standardized Uptake Value Ratio; 18F-MK6240 Standardized Uptake Value Ratio,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT04601038,https://clinicaltrials.gov/study/NCT04601038,Trial of CORT108297 to Attenuate the Effects of Acute Stress in the Allocortex (CORT-X),Phase II Trial of CORT108297 to Attenuate the Effects of Acute Stress in the Allocortex (CORT-X),RECRUITING,INTERVENTIONAL,PHASE2,TREATMENT,Synapses and neuronal communication,Preclinical or elevated-risk,52,Johns Hopkins University,CORT108297; Placebo,Mild Cognitive Impairment; Alzheimer Disease; Memory Impairment,United States,True,1,1,False,True,2020-10-23,2026-07-13,2021-06-28,2027-11-30,2028-01-01,"Memory as assessed by pattern separation task performance after 2 weeks of treatment with CORT108297; Memory as assessed by the Hopkins Verbal Learning Test-Revised Edition (HVLT-R) after 2 weeks of treatment with CORT108297; Executive functioning as assessed by the Trail Making Test (TMT), part B after 2 weeks of treatment with CORT108297","Last public update posted after June 10, 2026; historical status not reconstructed"
NCT04629547,https://clinicaltrials.gov/study/NCT04629547,Sleep Trial to Prevent Alzheimer's Disease,Sleep Trial to Prevent Alzheimer's Disease,RECRUITING,INTERVENTIONAL,PHASE2,PREVENTION,"Diagnostics, imaging, and biomarkers",Mixed or not specified,120,University of Minnesota,Suvorexant 20 mg; Placebo,Sleep; Alzheimer Disease,United States,True,1,1,False,True,2020-11-16,2026-07-13,2022-05-25,2028-05,2028-05,Change from baseline in Amyloid-β accumulation measured by plasma pT217/T217 in participants treated with 20 mg suvorexant compared to placebo,"Last public update posted after June 10, 2026; historical status not reconstructed"
